timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648156191211,1314,Create ,200,OK,Thread Group 1-21,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,1314,0,974
1648156190748,1777,Create ,200,OK,Thread Group 1-14,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,1777,0,1439
1648156190889,1636,Create ,200,OK,Thread Group 1-16,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,1636,0,1297
1648156190564,1983,Create ,200,OK,Thread Group 1-11,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,1983,0,1618
1648156190449,2099,Create ,200,OK,Thread Group 1-9,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,2099,0,1740
1648156191274,1275,Create ,200,OK,Thread Group 1-23,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,1275,0,916
1648156191207,1342,Create ,200,OK,Thread Group 1-20,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,1342,0,988
1648156190324,2226,Create ,200,OK,Thread Group 1-2,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,2226,0,1872
1648156190334,2216,Create ,200,OK,Thread Group 1-4,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,2216,0,1862
1648156191005,1546,Create ,200,OK,Thread Group 1-18,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,1546,0,1192
1648156190333,2219,Create ,200,OK,Thread Group 1-6,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,2219,0,1858
1648156190419,2139,Create ,200,OK,Thread Group 1-7,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,2139,0,1783
1648156190334,2226,Create ,200,OK,Thread Group 1-5,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,2226,0,1870
1648156190919,1640,Create ,200,OK,Thread Group 1-17,text,true,,443,407,43,43,https://restful-booker.herokuapp.com/booking/,1640,0,1284
